CURRENT DATE,Document Number,Transaction Number,External ID,Status,Name,Amount,Amount Unbilled,Memo (Main),PEFC Transaction,FSC Transaction,Date,Allocation Date,Mill Order Number,PO#,Carrier Unit No,Sales Rep,Formula (Text),Formula (Numeric),Formula (Text),Formula (Numeric)
"THU, 07/18/2024",SO65712,SALESORD65712,SO-E0718TC4-090804,Billed,Transcontinental Printing (PARENT) : Transcontinental Calgary,3273.00,.00,Sales Order created for load E0718TC4,Yes,No,7/17/2024,7/1/2024,090804,14-137172,93050,Dale Band,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65711,SALESORD65711,SO-E0718TC4-090795,Billed,Transcontinental Printing (PARENT) : Transcontinental Calgary,13963.02,.00,Sales Order created for load E0718TC4,Yes,No,7/17/2024,7/1/2024,090795,14-137183,93050,Dale Band,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65710,SALESORD65710,SO-E0718GG1-090255,Billed,Graphic Communications  (PARENT) : Graphic Communications Menards,19406.00,.00,Sales Order created for load E0718GG1,Yes,No,7/17/2024,7/1/2024,090255,9079728,84321006R,John Haun,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65709,SALESORD65709,SO-E0517XS7-087785,Billed,Central National - Gottesman (PARENT) : Central National Gottesman Inc. - CHINA,13888.39,.00,Sales Order created for load E0517XS7,No,No,7/17/2024,2/1/2024,087785,5518618 OD,CSNU6577812,John Plouffe,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65714,SALESORD65714,SO-E0718TC4-091751,Billed,Transcontinental Printing (PARENT) : Transcontinental Calgary,4387.13,.00,Sales Order created for load E0718TC4,Yes,No,7/17/2024,7/1/2024,091751,14-137666,93050,Dale Band,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65713,SALESORD65713,SO-E0718TC4-091749,Billed,Transcontinental Printing (PARENT) : Transcontinental Calgary,2901.02,.00,Sales Order created for load E0718TC4,Yes,No,7/17/2024,7/1/2024,091749,14-137669,93050,Dale Band,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65708,SALESORD65708,SO-E0723HP1-091787,Billed,"Norkol, Inc. (Parent) : Norkol Inc./ Handbill Printers LP",14937.01,.00,Sales Order created for load E0723HP1,No,No,7/17/2024,7/1/2024,091787,106068,ELFC5088,Jim Wright,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65707,SALESORD65707,SO-E0725TG2-091074,Billed,Transcontinental Printing (PARENT) : Transcontinental Vaughan,26977.36,.00,Sales Order created for load E0725TG2,Yes,No,7/17/2024,7/1/2024,091074,27-59204,TNXU284132,Dale Band,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65706,SALESORD65706,SO-E0517XS6-087785,Billed,Central National - Gottesman (PARENT) : Central National Gottesman Inc. - CHINA,13901.09,.00,Sales Order created for load E0517XS6,No,No,7/17/2024,2/1/2024,087785,5518618 OD,CSNU8310825,John Plouffe,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65705,SALESORD65705,SO-E0725TG1-091074,Billed,Transcontinental Printing (PARENT) : Transcontinental Vaughan,27021.40,.00,Sales Order created for load E0725TG1,Yes,No,7/17/2024,7/1/2024,091074,27-59204,TNXU289054,Dale Band,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65704,SALESORD65704,SO-E0517XS4-087785,Billed,Central National - Gottesman (PARENT) : Central National Gottesman Inc. - CHINA,13872.93,.00,Sales Order created for load E0517XS4,No,No,7/17/2024,2/1/2024,087785,5518618 OD,DRYU9699993,John Plouffe,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65703,SALESORD65703,SO-E0722EC1-091700,Billed,"Adams Publishing West (PARENT) : ECM Publishers, Inc.",17515.75,.00,Sales Order created for load E0722EC1,No,No,7/17/2024,7/1/2024,091700,#05-06-28,8432936R,John Plouffe,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65701,SALESORD65701,SO-E0718TC5-092156,Billed,Transcontinental Printing (PARENT) : Transcontinental Calgary,20515.10,.00,Sales Order created for load E0718TC5,Yes,No,7/17/2024,7/1/2024,092156,135350,82461,Dale Band,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65699,SALESORD65699,SO-E0517XS3-087785,Billed,Central National - Gottesman (PARENT) : Central National Gottesman Inc. - CHINA,13911.59,.00,Sales Order created for load E0517XS3,No,No,7/17/2024,2/1/2024,087785,5518618 OD,CBHU9527566,John Plouffe,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65702,SALESORD65702,SO-E0718TG5-090594,Billed,Transcontinental Printing (PARENT) : Transcontinental Vaughan,10362.87,.00,Sales Order created for load E0718TG5,Yes,No,7/17/2024,7/1/2024,090594,27-58933,CPPU237626,Dale Band,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65700,SALESORD65700,SO-E0718TG5-090591,Billed,Transcontinental Printing (PARENT) : Transcontinental Vaughan,18248.42,.00,Sales Order created for load E0718TG5,Yes,No,7/17/2024,7/1/2024,090591,27-58930,CPPU237626,Dale Band,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
"THU, 07/18/2024",SO65698,SALESORD65698,SO-E0517XS2-087785,Billed,Central National - Gottesman (PARENT) : Central National Gottesman Inc. - CHINA,13857.46,.00,Sales Order created for load E0517XS2,No,No,7/17/2024,2/1/2024,087785,5518618 OD,FFAU3473205,John Plouffe,"THU, 07/18/2024",1.50900462962962962962962962962962962963,THU,1
